plaka,il_adi,lat,lon,nufus,bolge
1,Adana,37.0000,35.3213,2270298,3
2,Adiyaman,37.7648,38.2786,635618,7
3,Afyonkarahisar,38.7507,30.5386,747555,2
4,Ağrı,39.7191,43.0506,511238,6
5,Amasya,40.6500,35.8333,337508,5
6,Ankara,39.9334,32.8597,5663322,4
7,Antalya,36.8969,30.7133,2649117,3
8,Artvin,41.1828,41.8183,176655,5
9,Aydın,37.8444,27.8456,1134931,2
10,Balıkesir,39.6484,27.8826,1257590,1
11,Bilecik,40.1436,29.9793,228058,1
12,Bingöl,38.8853,40.4982,285655,6
13,Bitlis,38.3938,42.1232,353988,6
14,Bolu,40.7392,31.6086,320014,1
15,Burdur,37.7206,30.2906,273799,3
16,Bursa,40.1826,29.0665,3214520,1
17,Çanakkale,40.1553,26.4142,559383,1
18,Çankırı,40.6013,33.6134,195766,4
19,Çorum,40.5506,34.9556,538018,4
20,Denizli,37.7765,29.0864,1055156,2
21,Diyarbakır,37.9144,40.2306,1784255,7
22,Edirne,41.6772,26.5556,413903,1
23,Elazığ,38.6748,39.2228,591497,6
24,Erzincan,39.7506,39.4925,239223,6
25,Erzurum,39.9043,41.2678,749993,6
26,Eskişehir,39.7767,30.5206,906499,4
27,Gaziantep,37.0662,37.3833,2110278,7
28,Giresun,40.9128,38.3895,461712,5
29,Gümüşhane,40.4386,39.5086,151449,5
30,Hakkari,37.5744,43.7408,278775,6
31,Hatay,36.2025,36.1606,1679320,3
32,Isparta,37.7648,30.5567,434771,3
33,Mersin,36.8121,34.6415,1917289,3
34,İstanbul,41.0082,28.9784,15519267,1
35,İzmir,38.4237,27.1428,4425794,2
36,Kars,40.6013,43.0975,274829,6
37,Kastamonu,41.3887,33.7827,388990,5
38,Kayseri,38.7312,35.4787,1444475,4
39,Kırklareli,41.7370,27.2256,372993,1
40,Kırşehir,39.1425,34.1709,242632,4
41,Kocaeli,40.7654,29.9408,2030733,1
42,Konya,37.8667,32.4833,2288450,4
43,Kütahya,39.4242,29.9833,578020,2
44,Malatya,38.3552,38.3095,710066,6
45,Manisa,38.6191,27.4289,1475719,2
46,Kahramanmaraş,37.5858,36.9371,1136615,7
47,Mardin,37.3212,40.7245,888874,7
48,Muğla,37.2153,28.3636,1048153,2
49,Muş,38.9462,41.7539,399879,6
50,Nevşehir,38.6244,34.7239,316685,4
51,Niğde,37.9698,34.6766,364707,4
52,Ordu,40.9839,37.8764,763190,5
53,Rize,41.0201,40.5234,348776,5
54,Sakarya,40.6940,30.4358,1078083,1
55,Samsun,41.2928,36.3313,1376686,5
56,Siirt,37.9274,41.9472,348968,7
57,Sinop,42.0231,35.1531,227269,5
58,Sivas,39.7477,37.0179,638956,6
59,Tekirdağ,40.9833,27.5167,1110167,1
60,Tokat,40.3235,36.5522,612375,5
61,Trabzon,41.0027,39.7168,816352,5
62,Tunceli,39.3074,39.4959,84654,6
63,Şanlıurfa,37.1674,38.7955,2117474,7
64,Uşak,38.6823,29.4082,277656,2
65,Van,38.4891,43.4089,1124565,6
66,Yozgat,39.8181,34.8147,418442,4
67,Zonguldak,41.4564,31.7987,596278,1
68,Aksaray,38.3687,34.0370,433055,4
69,Bayburt,40.2552,40.2249,85565,6
70,Karaman,37.1810,33.2150,260838,4
71,Kırıkkale,39.8468,33.5153,296039,4
72,Batman,37.8812,41.1351,634491,7
73,Şırnak,37.4187,42.4918,557605,6
74,Bartın,41.5811,32.4610,203351,1
75,Ardahan,41.1105,42.7022,94152,6
76,Iğdır,39.8880,44.0048,209738,6
77,Yalova,40.6500,29.2667,304780,1
78,Karabük,41.2061,32.6204,248014,1
79,Kilis,36.7184,37.1212,155179,7
80,Osmaniye,37.2130,36.1763,559405,3
81,Düzce,40.8438,31.1565,405156,1
